iter	MultiClass
0	0.9712764131
1	0.8754490115
2	0.8003250871
3	0.739348725
4	0.6892790533
5	0.6480856418
6	0.613300628
7	0.5842709223
8	0.5588649438
9	0.5373645541
10	0.518737209
11	0.5028321145
12	0.4892124288
13	0.4772115803
14	0.4668818899
15	0.4579420281
16	0.45016738
17	0.4435599753
18	0.4376416403
19	0.4324322982
20	0.4276626453
21	0.4238720693
22	0.420496961
23	0.4174333158
24	0.4146810205
25	0.4122841651
26	0.4102085439
27	0.4084128618
28	0.4068720852
29	0.4053542823
30	0.4041420906
31	0.4029901488
32	0.4020512391
33	0.4011372988
34	0.4004390465
35	0.3997553787
36	0.3991505106
37	0.3986766101
38	0.3981528431
39	0.3976836693
40	0.3972139805
41	0.3969044565
42	0.3965619192
43	0.3963331719
44	0.3960301292
45	0.3957398955
46	0.395616254
47	0.3953725152
48	0.3950815294
49	0.3948414573
50	0.3946716083
51	0.3945821694
52	0.3943839941
53	0.3942312818
54	0.3940845998
55	0.3939229325
56	0.3937916498
57	0.3936610643
58	0.3935848812
59	0.3934547121
60	0.3933460514
61	0.3931837027
62	0.3930888182
63	0.3929793693
64	0.3928692514
65	0.3927669176
66	0.3926774
67	0.3925869831
68	0.3925298913
69	0.3924446264
70	0.3923932926
71	0.3923247283
72	0.3922704271
73	0.3921692129
74	0.3920822629
75	0.3920231505
76	0.3919560079
77	0.3919051512
78	0.3918470236
79	0.3917852017
80	0.3917209905
81	0.3916615831
82	0.391605499
83	0.3915558786
84	0.3914869395
85	0.3914366503
86	0.3913801165
87	0.3913035129
88	0.3912414819
89	0.391175699
90	0.3911189776
91	0.3910438776
92	0.3909921747
93	0.3909486969
94	0.3908795159
95	0.3908434277
96	0.3907873779
97	0.3907475932
98	0.3906823381
99	0.3906186406
100	0.3905603951
101	0.390504323
102	0.390466325
103	0.3904141885
104	0.3903660462
105	0.3903392562
106	0.3902851796
107	0.3902333189
108	0.3901455695
109	0.3901287054
110	0.3901064872
111	0.3900506438
112	0.3900310601
113	0.3899807545
114	0.3899334389
115	0.3898292752
116	0.3897574851
117	0.3897325669
118	0.3896955014
119	0.3896548057
120	0.3896239597
121	0.389572965
122	0.3895197022
123	0.3894660873
124	0.389440433
125	0.3894009759
126	0.3893576802
127	0.38929991
128	0.3892647345
129	0.3892304861
130	0.3891980646
131	0.3891344455
132	0.3890806432
133	0.389020949
134	0.3889725493
135	0.3889190972
136	0.3888935765
137	0.3888699605
138	0.3888331658
139	0.3887925688
140	0.3887707636
141	0.3887459737
142	0.3887292745
143	0.3887146085
144	0.3886721355
145	0.3886286923
146	0.3885952005
147	0.3885578036
148	0.3885168482
149	0.3884694698
150	0.3884266346
151	0.3883925159
152	0.3883603916
153	0.3883279308
154	0.3883020247
155	0.3882797999
156	0.3882394001
157	0.3882101605
158	0.3881776584
159	0.3881372971
160	0.3880877772
161	0.388037234
162	0.3879863359
163	0.3879332871
164	0.3879214636
165	0.387884706
166	0.3878619419
167	0.3878247245
168	0.3877874902
169	0.38772801
170	0.3877008649
171	0.3876599111
172	0.3876289718
173	0.3875930555
174	0.3875639476
175	0.3875333746
176	0.3875217368
177	0.3874821171
178	0.3874512506
179	0.3874218365
180	0.3874070154
181	0.3873649888
182	0.3873346266
183	0.3873067792
184	0.3872829475
185	0.3872243545
186	0.3872083476
187	0.3871840029
188	0.3871307373
189	0.3870976027
190	0.3870706202
191	0.3870390096
192	0.3870035314
193	0.3869748829
194	0.3869578568
195	0.3869152054
196	0.3868760528
197	0.3868651092
198	0.3868461603
199	0.3868013225
200	0.3867817219
201	0.3867513375
202	0.386736148
203	0.3867005661
204	0.386648591
205	0.3866167754
206	0.3865977858
207	0.38656922
208	0.38654163
209	0.3865212167
210	0.386483591
211	0.3864634957
212	0.3864250836
213	0.3864043441
214	0.3863729543
215	0.3863495358
216	0.3863097898
217	0.3862878354
218	0.3862492123
219	0.3862234542
220	0.3861832356
221	0.3861429459
222	0.3861046705
223	0.3860771697
224	0.3860529366
225	0.3860230986
226	0.3859889597
227	0.3859600807
228	0.3859316648
229	0.3859086042
230	0.3858975292
231	0.3858850772
232	0.3858656356
233	0.3858341298
234	0.3857896938
235	0.3857432629
236	0.3857186227
237	0.3857112995
238	0.3856871176
239	0.3856405729
240	0.3856085465
241	0.3855920527
242	0.3855601114
243	0.3855456932
244	0.3855227003
245	0.385503034
246	0.3854692244
247	0.3854596847
248	0.3854451454
249	0.3854152679
250	0.3853788806
251	0.3853463552
252	0.3853090605
253	0.3852747483
254	0.3852725101
255	0.3852387823
256	0.3852049395
257	0.3851690253
258	0.3851354991
259	0.3851021423
260	0.3850858977
261	0.3850739116
262	0.385052628
263	0.3850162309
264	0.3849737071
265	0.3849411612
266	0.384924015
267	0.3849004366
268	0.3848760922
269	0.3848475723
270	0.3848101202
271	0.3847859652
272	0.3847534269
273	0.384723329
274	0.3847022142
275	0.3846671097
276	0.3846280299
277	0.3846015648
278	0.3845907469
279	0.3845758468
280	0.3845506908
281	0.3845273431
282	0.3844985985
283	0.3844831179
284	0.3844560653
285	0.3844258892
286	0.3844026996
287	0.3843959316
288	0.3843871928
289	0.3843627523
290	0.3843391045
291	0.3843166245
292	0.3842872441
293	0.3842731244
294	0.3842437501
295	0.3842372439
296	0.3841984763
297	0.3841623291
298	0.3841503502
299	0.3841378785
300	0.3840914216
301	0.3840477166
302	0.3840292724
303	0.3840070592
304	0.383983145
305	0.3839661435
306	0.3839310536
307	0.3838999959
308	0.3838748733
309	0.3838610866
310	0.3838420376
311	0.3838111079
312	0.3837843989
313	0.3837468529
314	0.3837187209
315	0.3836928222
316	0.3836773474
317	0.3836538902
318	0.3836157516
319	0.3835977873
320	0.3835756673
321	0.383550915
322	0.3835292785
323	0.3834914944
324	0.3834634894
325	0.383426401
326	0.3834057356
