iter	Passed	Remaining
0	151	151177
1	169	84818
2	216	71847
3	236	58919
4	264	52719
5	289	48028
6	311	44243
7	336	41676
8	354	39056
9	374	37106
10	395	35545
11	415	34209
12	436	33145
13	457	32236
14	477	31369
15	498	30653
16	516	29890
17	536	29268
18	557	28806
19	577	28310
20	595	27770
21	625	27820
22	644	27388
23	664	27006
24	682	26632
25	704	26391
26	723	26076
27	742	25787
28	762	25519
29	782	25294
30	802	25076
31	822	24890
32	843	24725
33	863	24543
34	883	24363
35	903	24204
36	929	24202
37	948	24007
38	969	23894
39	991	23804
40	1013	23698
41	1029	23471
42	1046	23288
43	1065	23142
44	1082	22980
45	1102	22868
46	1127	22864
47	1144	22692
48	1164	22608
49	1180	22424
50	1197	22288
51	1214	22132
52	1231	22011
53	1248	21869
54	1264	21719
55	1282	21623
56	1304	21574
57	1317	21405
58	1368	21827
59	1391	21793
60	1430	22020
61	1450	21937
62	1467	21825
63	1484	21714
64	1501	21596
65	1519	21501
66	1533	21357
67	1552	21282
68	1568	21159
69	1589	21111
70	1606	21021
71	1623	20928
72	1643	20864
73	1659	20763
74	1675	20662
75	1691	20565
76	1708	20474
77	1723	20375
78	1739	20281
79	1756	20197
80	1788	20289
81	1803	20186
82	1819	20098
83	1838	20050
84	1856	19984
85	1873	19910
86	1890	19840
87	1908	19783
88	1926	19717
89	1946	19678
90	1963	19614
91	1983	19572
92	1999	19498
93	2015	19424
94	2032	19360
95	2049	19302
96	2069	19267
97	2096	19292
98	2121	19303
99	2138	19245
100	2176	19373
101	2195	19331
102	2213	19272
103	2238	19289
104	2257	19242
105	2284	19265
106	2307	19254
107	2328	19229
108	2354	19249
109	2374	19211
110	2402	19244
111	2427	19245
112	2444	19190
113	2474	19228
114	2495	19201
115	2517	19187
116	2553	19272
117	2570	19214
118	2591	19183
119	2612	19155
120	2635	19144
121	2653	19097
122	2672	19058
123	2695	19041
124	2713	18992
125	2733	18957
126	2752	18918
127	2770	18875
128	2788	18824
129	2805	18777
130	2824	18733
131	2844	18703
132	2865	18678
133	2884	18642
134	2903	18601
135	2921	18559
136	2938	18507
137	2957	18476
138	2990	18523
139	3006	18467
140	3023	18417
141	3040	18369
142	3056	18319
143	3074	18274
144	3090	18225
145	3107	18179
146	3154	18307
147	3170	18251
148	3189	18216
149	3209	18185
150	3227	18148
151	3248	18125
152	3267	18086
153	3284	18046
154	3303	18011
155	3322	17976
156	3341	17940
157	3359	17905
158	3381	17886
159	3403	17867
160	3421	17831
161	3445	17824
162	3463	17785
163	3487	17778
164	3521	17819
165	3541	17792
166	3560	17758
167	3582	17739
168	3601	17710
169	3624	17696
170	3646	17677
171	3666	17652
172	3684	17613
173	3705	17592
174	3723	17552
175	3744	17530
